동물원에 소는 없을껄여.	동물원에 소는 없을걸요.
여성 해방론자들은 내가 전통적인 사고방식에 따라 여성을 변덕맞고도 예측 불가능한 존재로 규정하고 있다고 생각할지 모른다.	여성 해방론자들은 내가 전통적인 사고 방식에 따라 여성을 변덕맞고도 예측 불가능한 존재로 규정하고 있다고 생각할지 모른다.
언니는 생김새가 나하고 달라여.	언니는 생김새가 나하고 달라요.
노래가 정말 좋아요 가치 들어요.	노래가 정말 좋아요 같이 들어요.
그녀가 전에 누구와 사귀었던지 관심 없어요.	그녀가 전에 누구와 사귀었든지 관심 없어요.
나쁜 습관을 꼭 고쳐야만 돼요.	나쁜 습관은 꼭 고쳐야만 돼요.
상부로부터 부장급들에게 사원들이 게으름을 피우는 데에 대해 사원들 감독을 철저히 하라고 지시가 떨어졌다.	상부로부터 부장급들에게 사원들이 게으름을 피우는 데 대해 사원들 감독을 철저히 하라고 지시가 떨어졌다.
해수는 진우와의 대결에서 두 번의 패배로 몇 번 쓴맛을 본 이후로는 진우의 심복이 되어 버렸다.	태수는 진우와의 대결에서 두 번의 패배로 몇 번 쓴맛을 본 이후로는 진우의 심복이 되어버렸다.
아버지 께서 자전거를 타고 가시더구나.	아버지께서 자전거를 타고 가시더구나.
쑤완 씨를 만나거든 안부 좀 전해주세요.	쑤완 씨를 만나거든 안부 좀 전해 주세요.
제가 청소를 해놓을테니 걱정하지마세요.	제가 청소를 해 놓을 테니 걱정하지 마세요.
오늘 지각한 사람이 민수씨 뿐 아니에요 다섯명이나 돼요.	오늘 지각한 사람이 민수 씨뿐 아니에요 다섯 명이나 돼요.
안 바쁠? 같이 등산할까요.	안 바쁠 때 같이 등산할까요.
중국의 자율경제 체제 도입에 대해 전문가들 사이에서는 이제 계획경제 체제가 붕괴될 것이라고 분석이 조심스럽게 나오고 있다.	중국의 자유 경제 체제 도입에 대해 전문가들 사이에서는 이제 계획 경제 체제가 붕괴될 것이라고 분석이 조심스럽게 나오고 있다.
여러분이 수혜 복구 지역을 재건하는 데 얼마간의 성금을 협조해 주신다면 큰 힘이 될 것입니다.	여러분이 수해복구 지역을 재건하는 데에 얼마간의 성금을 협조해 주신다면 큰 힘이 될 것입니다.
혼자 집에 가지마세요.	혼자 집에 가지 마세요.
앤디씨는 3년 전부터 집을 조금씩 지어왔써요.	앤디 씨는 3년 전부터 집을 조금씩 지어 왔어요.
저는 다음부터 혼자 여행가지 않을꺼에여.	저는 다음부터 혼자 여행 가지 않을 거예요.
지금 출발 안 하면 약속시간에 늦짠아.	지금 출발 안 하면 약속 시간에 늦잖아.
그 식당은 음식이 맛있는데다가 값도 싸요.	그 식당은 음식이 맛있는 데다가 값도 싸요.
앤디씨가 가방을 책상 위에다가 놓았어요.	앤디 씨가 가방을 책상 위에다가 놓았어요.
아들 공부 시키느라 집까지 팔았다.	아들 공부시키느라 집까지 팔았다.
영준이는 벌써 1 년 전부터 꾸미고 치장하고 닦이질하고 도배하던 새집으로 돌아가게 되었다.	영준이는 벌써 1 년 전부터 꾸미고 수장하고 닦이질하고 도배하던 새집으로 돌아가게 되었다.
삽질을 하다 보면 가끔씩 팔을 쉬어야 하는데 그럴 때면 작업 반장은 일을 열심히 하지 않는다고 윽박지르기만 한다.	삽질을 하다보면 가끔씩 팔을 쉬어야하는데 그럴 때면 작업반장은 일을 열심히 하지 않는다고 윽박지르기만 한다.
이제 세게 각국에 문화에 대해 검토해보자.	이제 세계 각국의 문화에 대해 검토해 보자.
명동에서 사고가 난 것을 알려 드립니다.	명동에서 사고가 난 것을 알려드립니다.
다른 직원들은 다들 퇴근했던데 김 대리는 퇴근 안해?	다른 직원들은 다들 퇴근했던데 김 대리는 퇴근 안 해?
점점 학생 수가 줄어든다고 해서 대학들이 스스로 입학의 문턱을 낮추기를 기다릴 수도 없는 노릇이었다.	점점 학생수가 줄어든다고 해서 대학들이 스스로 입학의 문턱을 낮추기를 기다릴 수도 없는 노릇이었다.
수돗물을 생수와 비교해봤더니 물맛은 수돗물이 더 좋은 것으로 나타났다.	수돗물을 생수와 비교해 봤더니 물맛은 수돗물이 더 좋은 것으로 나타났다.
사소한 이유로 싸움이 시작되었고 세파가 그 동안 눌러참고 있던 원한이 이 싸움으로 격발되었다.	사소한 이유로 싸움이 시작되었고 세 파가 그동안 눌러참고있던 원한이 이 싸움으로 격발되었다.
유미씨는 운전할 수 있어요.	유미 씨는 운전할 수 있어요.
왕밍은 배우는 것을 좋아하는 반면에 흐엉은 배우는 것을 싫어할거에요.	왕밍은 배우는 것을 좋아하는 반면에 흐엉은 배우는 것을 싫어할 거예요.
이제부터 매일 운동하세요?	이제부터 매일 운동하게요?
아르바이트로 돈을 벌어봐야 얼마나 벌겠어?	아르바이트로 돈을 벌어야 얼마나 벌겠어?
이 신발을 신고 걸어도 되요.	이 신발을 신고 걸어도 돼요.
내 컴퓨터 고치는 김에 네 것도 고쳐줄게.	내 컴퓨터 고치는 김에 네 것도 고쳐 줄게.
대처수상은 철의 여인으로 불린다.	대처 수상은 철의 여인으로 불린다.
언제 집에 와여.	언제 집에 와요.
부모님이 모두 입원하셨떤데요.	부모님이 모두 입원하셨던데요.
앤디는 수지씨에게 갔어요.	앤디는 수지 씨에게 갔어요.
방마다 불을 켜놓아서 혼났어요.	방마다 불을 켜 놓아서 혼났어요.
내가 생각하기에 영수말이 맞는것같아.	내가 생각하기에 영수 말이 맞는 것 같아.
의사선생님이 저녁을 먹지 말라니?	의사 선생님이 저녁을 먹지 말라니?
요즘 잠을 푹 잤더니 머리아픈게 다 나아서 이제는 약을 먹지 않아도 돼요. 머리가 아플때는 잠부터 푹 자고 볼일인것 가타요.	요즘 잠을 푹 잤더니 머리 아픈 게 다 나아서 이제는 약을 먹지 않아도 돼요. 머리가 아플 때는 잠부터 푹 자고 볼 일인 것 같아요.
매일 라면을 먹은 결과 건강이 나빠졌쎄여.	매일 라면을 먹은 결과 건강이 나빠졌어요.
눈이 많이 내리는 날 개가 앞산을 향해 하루종일 짓더니 큰 눈덩이가 집 안으로 굴러들었다.	눈이 많이 내리는 날 개가 앞산을 향해 하루 종일 짖더니 큰 눈덩이가 집 안으로 굴러들었다.
구청장 후보는 구민들에게 지하철을 건설하는 데에 대해 10호선을 건설하겠다고 공약을 내놓았다.	구청장 후보는 구민들에게 지하철을 건설하는 데 대해 10호선을 건설하겠다고 공약을 내놓았다.
학생들은 선생님에게 에너지는 사용하면 할수록 질이 떨어진다는데에 대해 납득이 가지 않았다.	학생들은 선생님에게 에너지는 사용하면 할수록 질이 떨어진다는 데 대해 납득이 가지 않았다.
그옷은 저한테 너무 작은데요.	그 옷은 저한테 너무 작은데요.
유엔은 이라크를 침공한데 대해 후일 역사의 심판을 받아야 할 것이라고 미국에 강도 높은 비난을 가했다.	유엔은 이라크를 침공한 데 대해 후일 역사의 심판을 받아야 할 것이라고 미국에 강도높은 비난을 가했다.
아니여. 내년에 갈꺼에여.	아니요. 내년에 갈 거예요.
제가 반드시 범인을 잡을테니 기다려 주세요.	제가 반드시 범인을 잡을 테니 기다려 주세요.
토요일 오전만 아니면 등산갈 수 있어여.	토요일 오전만 아니면 등산 갈 수 있어요.
흐엉씨가 고향음식이 먹고싶어서 자꾸 여위어간다.	흐엉 씨가 고향 음식이 먹고 싶어서 자꾸 여위어 간다.
신문 사회면에서 보듯이 나날이 흉악한 범죄가 늘어가고 있다.	신문 사회 면에서 보듯이 나날이 흉악한 범죄가 늘어가고 있다.
한국 사회는 군사 독재 시절에서 민주시민 사회로 넘어오면서 그간 내재되었던 많은 문제들이 표출되었다.	한국 사회는 군사독재 시절에서 민주시민 사회로 넘어오면서 그간 내재되었던 많은 문제들이 표출되었다.
주말에 스키를 타러가려면 날씨가 추워야겠어요.	주말에 스키를 타러 가려면 날씨가 추워야겠어요.
시험에 합격하거든 저녁을 살께.	시험에 합격하거든 저녁을 살게.
선생님이 왕밍씨에게 창문을 닫게했어요.	선생님이 왕밍 씨에게 창문을 닫게 했어요.
할머니는 짐을 들어준 데에 대해 소녀에게 팔다 남은 옛날이야기를 해주는 것으로 신세를 갚겠다고 하셨다.	할머니는 짐을 들어 준 데 대해 소녀에게 팔다 남은 옛날 이야기를 해 주는 것으로 신세를 갚겠다고 하셨다.
이 옷을 안입어 보겠다.	이 옷을 안 입어 보겠다.
한때는 돈도 쓸 만큼 다 써본 적이 있었다.	한때는 돈도 쓸 만큼 다 써 본 적이 있었다.
감기가 다 나으셨나 봐요? 운동을 하러 나오셨게?	감기가 다 나으셨나 봐요? 운동하러 나오셨게?
그는 늘 자기 혼자 힘으로 뭔가를 해보려고 하기보다는 늘 남의 것을 넘어다보고 노력을 하지 않는다.	그는 늘 자기 혼자 힘으로 뭔가를 해보려고 하기 보다는 늘 남의 것을 넘어다보고 노력을 하지 않는다.
지영씨가 남자친구를 만나서인지 기분이 매우 조아보였습니다.	지영 씨가 남자 친구를 만나서인지 기분이 매우 좋아 보였습니다.
형은 부모님하고 서울에서 살아여.	형은 부모님하고 서울에서 살아요.
겨울 옷은 겨울 옷대로 여름 옷은 여름 옷대로 따로 정리하세요.	겨울옷은 겨울옷대로 여름옷은 여름옷대로 따로 정리하세요.
그 운전자는 교통사고를 당한 남자를 가까운 병원 의사에게 간단하게 진료시키고는 달아나 버렸다.	그 운전자는 교통사고를 당한 남자를 가까운 병원 의사에게 간단하게 진료시키고는 달아나버렸다.
아무리 졸라야 꿈쩍도 안해요.	아무리 졸라야 꿈쩍도 안 해요.
약국이 문을 닫을까봐 걱정이에요.	약국이 문을 닫을까 봐 걱정이에요.
수줍음은 적절한 조취로 제때에 고칠 수 있지만 한편으로는 겸손하고 조용한 성품으로 오해돼 방치되기도 쉽습니다.	수줍음은 적절한 조치로 제때에 고칠 수 있지만 한편으로는 겸손하고 조용한 성품으로 오해돼 방치되기도 쉽습니다.
서울에서 부산까지 얼마나걸려요.	서울에서 부산까지 얼마나 걸려요.
12시가 넘도록 내가 안들어와서 어제 엄마가 얼마나 걱정하셨는지 알아?	12시가 넘도록 네가 안 들어와서 어제 엄마가 얼마나 걱정하셨는지 알아?
오후의 날씨가 좋지 않거든 내일 오세여.	오후에 날씨가 좋지 않거든 내일 오세요.
수지씨는 테니스를 치러 연습장에 갈거에요.	수지 씨는 테니스를 치러 연습장에 갈 거예요.
김 회장은 자신의 재산을 어려운 사람들을 위해 쓰겠다고 말함으로 지난 번 사건에 대해 위신을 지켰다.	김회장은 자신의 재산을 어려운 사람들을 위해 쓰겠다고 말하므로 지난반 사건에 대해 위신을 지켰다.
7 시에 일어나려고 알람을 맞춰두었어요.	7시에 일어나려고 알람을 맞춰 두었어요.
평소에는 식당에서 밥을 사 먹는다거나 간단히 샌드위치를 사먹는거나 하면서 점심을 해결해요.	평소에는 식당에서 밥을 사 먹는다거나 간단히 샌드위치를 사 먹는다거나 하면서 점심을 해결해요.
정답을 모르겠는 사람은 다시 공부 해야 해요.	정답을 모르겠는 사람은 다시 공부해야 해요.
좋기는요. 좋지는 않지만 안 좋은 집이나마 우리집이 있어서 정말 좋아요.	좋기는요. 좋지는 않지만 안 좋은 집이나마 우리 집이 있어서 정말 좋아요.
새로 컴퓨터를 사려면 시간이 좀 걸릴 것 같아서 중고컴퓨터를 급구하여 일단 일을 시작한 상태이다.	새로 컴퓨터를 사려면 시간이 좀 걸릴 것 같아서 중고 컴퓨터를 급구하여 일단 일을 시작한 상태이다.
돈이란 있으면 나중에 벌어도 되지만 공부는 지금 안하면 안돼요.	돈이란 있으면 나중에 벌어도 되지만 공부는 지금 안 하면 안 돼요.
남자친구가 제 휴대폰 메시지를 항상 읽으려고 들어서 짜증이 나요.	남자 친구가 제 휴대폰 메시지를 항상 읽으려고 들어서 짜증이 나요.
이 책은 선생님이 읽은 책이에여.	이 책은 선생님이 읽은 책이에요.
영희가 성적이 안올랐어? 혼자서 웃지 않게.	영희가 성적이 안 올랐어? 혼자서 웃지 않게.
전문지식이 부족한 일반인이 창업할 경우 성공확률이 높지않으므로 전문가의 조언이 필요하다.	전문 지식이 부족한 일반인이 창업할 경우 성공 확률이 높지 않으므로 전문가의 조언이 필요하다.
술을 마시고 아무리 늦게 귀가하여도반갑게 맞아주며 다음날 아침 맑은 북어탕까지 끓여주곤 했다.	술을 마시고 아무리 늦게 귀가하여도 반갑게 맞아주며 다음날 아침 맑은 북어탕까지 끄려주곤 했다.
당국이 기업인들이 입국하는 것에 대해 상업행위를 할 수 없다고 입국조건에 단서를 달았다.	당국이 기업인들이 입국하는 것에 대해 상업 행위를 할 수 없다고 입국 조건에 단서를 달았다.
어머니는 부처님께 다친 아들에 대해 아들이 빨리 건강하게 되게 해달라고 치성을 올리셨다.	어머니는 부처님께 다친 아들에 대해 아들이 빨리 건강하게 되게 해 달라고 치성을 올리셨다.
사장은 이 부분에 두 회사가 합병하는 데 대해서는 그럴 의사가 조금도 없다고 줄을 달았다.	사장은 이 부분에 두 회사가 합병하는 데 대해서는 그럴 의사가 조금도 없다고 주를 달았다.
침대에 누우니까 전화가 왔어여.	침대에 누우니까 전화가 왔어요.
이 많은걸 먹으라니 먹겠는데 다 먹지는 못하겠어여.	이 많은 걸 먹으라니 먹겠는데 다 먹지는 못하겠어요.
어머니는 당장 학교를 그만두겠다는 오빠에게 학교의 처사에 대해 조금만 더 두고보자고 살살 달랬다.	어머니는 당장 학교를 그만두겠다는 오빠에게 학교의 처사에 대해 조금만 더 두고 보자고 살살 달랬다.
수지 씨 다리에 음료수도 있어요.	수지 씨 자리에 음료수도 있어요.
사장은 언제 입찰을 받을 지에 대해 조직 폭력배들에게 빨리 알선비를 내 놓으라고 압력을 받았다.	사장은 언제 입찰을 받을지에 대해 조직 폭력배들에게 빨리 알선비를 내 놓으라고 압력을 받았다.
공원에 가서 자전거를 탈까봐여.	공원에 가서 자전거를 탈까 봐요.
친구녀석은 나한테 그 여학생이 오늘 외출한 데에 대해 아는 바가 있느냐고 넌지시 물어보았다.	친구 녀석은 나한테 그 여학생이 오늘 외출한 데 대해 아는 바가 있느냐고 넌지시 물어보았다.
새 침대에 누워보세요.	새 침대에 누워 보세요.
잠을 자다가 무서운 꿈을 꿨세요.	잠을 자다가 무서운 꿈을 꿨어요.
제작업체는 자신들이 만든 영화가 여러 메체를 통해 사람들 사이에 홍보될 수 있도록 지원을 아끼지 않았다.	제작업체는 자신들이 만든 영화가 여러 매체를 통해 사람들 사이에 홍보될 수 있도록 지원을 아끼지 않았다.
수지씨는 테니스를 치러 연습장에 갈꺼에여.	수지 씨는 테니스를 치러 연습장에 갈 거예요.
이번 설의 떡가래는 작년보다 더 굵은 것 같았다. 어머니는 하룻밤 지난 떡가래를 하나하나 떼어내셨다.	이번 설의 떡가래는 작년보다 더 굵은 것 같았다. 어머니는 하룻밤 지난 떡가래를 하나하나 떼어 내셨다.
시장은 시민들에게 교통체계 개편에 대해 시간이 지나면 개편된 체계에 익숙해질 거라고 답변을 주었다.	시장은 시민들에게 교통체계 개편에 대해 시간이 지나면 개편된 체계에 익숙해질 것이라고 답변을 주었다.
우리들은 어떻게 어려운 미분문제를 풀 것인가에 대해 모두들 쉽게 풀어낼 수 있다고 자신이 생겼다.	우리들은 어떻게 어려운 미분 문제를 풀 것인가에 대해 모두 쉽게 풀어낼 수 있다고 자신이 생겼다.
비가온 탓에 여행이 취소됐다.	비가 온 탓에 여행이 취소됐다.
여성에게 열등한 기능을 귀속시킴으로써 여성의 존재 가치를 절하시키는 것은 무분별한 주장이다.	여성에게 열등한 기능을 귀속시킴으로써 여성의 존재가치를 절하시키는 것은 무근거한 주장이다.
공부 안한것 치곤 시험을 잘 봤어여.	공부 안 한 거치곤 시험을 잘 봤어요.
어디요 서점이 어디있어요 안보이는데요.	어디요 서점이 어디 있어요 안 보이는데요.
그는 자기를 시기하는 다른 동료들에게 학교 생활에 대해 약점이 잡히지 않도록 더욱더 열심히 일했다.	그는 자기를 시기하는 다른 동료들에게 학교 생활에 대해 약점이 잡히지 않도록 더욱 더 열심히 일했다.
너무 더운데 머리를 자를까봐요.	너무 더운데 머리를 자를까 봐요.
저 분이 이 선생님의 남편이세요.	저분이 이 선생님의 남편이세요.
수지씨는 방학에 고향을 가여.	수지 씨는 방학에 고향을 가요.
정부가 국민의 이해와 협조를 얻으려면 매사를 분명한 원칙 하에 투명하게 처리하는 것이 첫 경이다.	정부가 국민의 이해와 협조를 얻으려면 매사를 분명한 원칙하에 투명하게 처리하는 것이 첩경이다.
아무생각도 안나고 그냥 감사할따름이에요.	아무 생각도 안 나고 그저 감사할 따름이에요.
공부 안 한 것치고 시험을 잘 봤어요.	공부 안 한 거치고 시험을 잘 봤어요.
이 개의 주인이 어디있을까요.	이 개의 주인이 어디 있을까요.
노학자는 자기가 쓴 책에 두 나라가 합병하는데에 대해서는 근거 불충분으로 주석을 달았다.	노 학자는 자기가 쓴 책에 두 나라가 합병하는 데 대해서는 근거 불충분으로 주석을 달았다.
교육 인적 자원부는 중국 정부 기관과 협력해 중국인 유학생의 신원 보증 문제 해결 방법 등을 강구하고 있다.	교육인적자원부는 중국 정부 기관과 협력해 중국인 유학생의 신원보증 문제 해결 방안 등을 강구하고 있다.
아토피 피부염때문에 가렵더니 이젠 다 나아서 괜찮아요.	아토피 피부염 때문에 가렵더니 이젠 다 나아서 괜찮아요.
왕밍씨는 친구랑 있으면 무엇을 해여.	왕밍 씨는 친구랑 있으면 무엇을 해요.
저는 돈가스를 먹으러 식당으로 올라가지 않았어여.	저는 돈가스를 먹으러 식당으로 올라가지 않았어요.
그 남자는 곧 연주회가 시작 됨을 모두에게 알렸다.	그 남자는 곧 연주회가 시작됨을 모두에게 알렸다.
국제정세 변화는 그동안 사회과학 전반을 휩쓸었던 진보사회 이론에 대한 열기를 급속히 냉각시켰다.	국제 정세 변화는 그 동안 사회과학 전반을 휩쓸었던 진보 사회이론에 대한 열기를 급속히 냉각시켰다.
건전하고 안정적으로 발전하는 중미 관계는 중미 양국의 인민의 이익이 합치해 세계의 평화와 안정과 발전에도 유익하다.	건전하고 안정적으로 발전하는 중미 관계는 중미 양국의 인민 의 이익에 합치해 세계의 평화와 안정과 발전에도 유익하다.
저는 졸업 후 유학하러 갈거에요.	저는 졸업 후 유학하러 갈 거예요.
그 아이는 친구들에게서 무속인 집안에서의 출생에 대해 부정타니 저리가라고 천대를 당했다.	그 아이는 친구들에게서 무속인 집안에서의 출생에 대해 부정타니 저리 가라고 천대를 당했다.
너무 바빠 하루종일 굶었더니 속이 쓰려요.	너무 바빠서 온종일 굶었더니 속이 쓰려요.
흐엉씨가 서울에서 살면 매일 만날 수 있을거에여.	흐엉 씨가 서울에서 살면 매일 만날 수 있을 거예요.
할머니 생신상을 차려려고 과일이며 채소며 고기며 장을 많이 봤어요.	할머니 생신상을 차리려고 과일이며 채소며 고기며 장을 많이 봤어요.
밤을 거의 세우다시피 하면서 시험공부를 하고 있어요.	밤을 거의 새우다시피 하면서 시험공부를 하고 있어요.
얼마남지 않은 월드컵 경기를 생각한다면 영어 실력과 친절 문화를 좀 더 국제화 해야 한다.	얼마남지 않은 월드컵 경기를 생각한다면 영어 실력과 친절 문화를 좀 더 국제화해야 한다.
현 정부의 경제정책의 실패는 정책의 기조를 안정보다는 성장쪽에 둔 데에서 기인한 것이다.	현 정부의 경제 정책의 실패는 정책의 기조를 안정보다는 성장 쪽에 둔 데에서 기인한 것이다.
그 사람은 아는 것에 비하여 표현을 잘 못해요.	그 사람은 아는 것에 비하여 표현을 잘 못 해요.
당시 이자겸의 난으로 민심이 흉흉한 데다 밖으로는 새로 일어난 금나라가 고려에 압력을 가해 와 사회가 크게 불안하였다.	당시 이자겸의 난으로 민심이 흉흉한 데다 밖으로는 새로 일어난 금나라가 고려에 압력을 가해와 사회가 크게 불안하였다.
우리는 옛날에 배고파 봤써여.	우리는 옛날에 배고파 봤어요.
앤디씨가 김치를 안먹더니 이제는 잘 먹어요.	앤디 씨가 김치를 안 먹더니 이제는 잘 먹어요.
철수가 불순 세력의 방해로 영화 제작을 하는데에 대해 사업을 확장하는 것이 실패로 돌아갔다.	철수가 불순 세력의 방해로 영화 제작을 하는 데 대해 사업을 확장하는 것이 실패로 돌아갔다.
지금 교수님께서 식사하시고 계실텐데 기다릴 수 있세여.	지금 교수님께서 식사하시고 계실 텐데 기다릴 수 있어요.
미도리씨 수업에 늦지마세요.	미도리 씨 수업에 늦지 마세요.
선생님께 편지를 써여.	선생님께 편지를 써요.
저는 어제 친구들이랑 영화를 봐써요.	저는 어제 친구들이랑 영화를 봤어요.
어제일은 줄리아씨가 너무 했나 쉽어요.	어제 일은 줄리아 씨가 너무했나 싶어요.
그 남자는 자신의 죄를 인식하고 있기 때문에 다른 사람의 비난이나 자기의 양심의 가책이 드는 일을 견뎌온 것이다.	그 남자는 자신의 죄를 인식하고 있기 때문에 다른 사람의 비난이나 자기의 양심에 가책이 되는 일을 견뎌온 것이다.
민준이는 책을 읽는다고 늦은 밤인데도 훤히 불을 켰다.	민준이는 책을 읽는다고 늦은 밤인데도 환히 불을 켰다.
앤디씨는 프랑스에 여행 가고 시ᅲ어요.	앤디 씨는 프랑스에 여행 가고 싶어요.
나는 매일 아침 산책할려고 공원에 가여.	나는 매일 아침 산책할려구 공원에 가요.
이런 방법으로만 같아도 금방 한국어 실력이 좋아질꺼에요.	이런 방법으로만 같아도 금방 한국어 실력이 좋아질 거예요.
요즘에는 12시가 넘어서 집에 들어가여.	요즘에는 12시가 넘어서 집에 들어가요.
학생이고 선생님이고 다들 아키라시를 칭찬해요.	학생이고 선생님이고 다들 아키라 씨를 칭찬해요.
한국에 유명한 가수가 중국에 온다.	한국의 유명한 가수가 중국에 온다.
철수는 그녀가 아이들에게 설명을 잘 해주는 것으로 보아 그 여자의 직업을 유치원 교사로 짐작했다.	철수는 그녀가 아이들에게 설명을 잘 해주는 것으로 보아 그 여자의 직업을 유치원교사로 짐작했다.
날씨가 더워지니 꽃이 점점 시들어가여.	날씨가 더워지니 꽃이 점점 시들어 가요.
영수 씨가 이 말을 들으면 분명히 자기 생각이 맞다고 우겨댈 거에요.	영수 씨가 이 말을 들으면 분명히 자기 생각이 맞다고 우겨댈 거예요.
오랫만에 휴가를 떠나는만큼 해외에 가려고요.	오랜만에 휴가를 떠나는 만큼 해외에 가려고요.
밥을 먹는 뒤에 아이스크림을 먹자.	밥을 먹은 뒤에 아이스크림을 먹자.
그 회사는 물품의 인수가 늦어져서 영업이 제대로 안되고 있다. 우리가 이 회사까지 인수를 하면 시장 점유율이 올라갈 것이다.	그 회사는 물품의 인수가 늦어져서 영업이 제대로 안 되고 있다. 우리가 이 회사까지 인수를 하면 시장점유율이 올라갈 것이다.
수지씨는 고등학교때 키가 작앗어요.	수지 씨는 고등학교 때 키가 작았어요.
백화점에 가니까 세일을 해여.	백화점에 가니까 세일을 해요.
저는 취업 후 결혼할꺼에여.	저는 취업 후 결혼할 거예요.
우리 어머니 께서는 눈이 예쁘세요.	우리 어머니께서는 눈이 예쁘세요.
줄리아씨는 고등학교 때부터 어려운 사람들을 도와왔쎄요.	줄리아 씨는 고등학교 때부터 어려운 사람들을 도와 왔어요.
비가 그치거든 산책할 거에요.	비가 그치거든 산책할 거예요.
나는 그에게 제대로 못하면 앞장서서 질책할 것이고 잘하면 누구보다 먼저 박수쳐줄 것이라고도 했다.	나는 그에게 제대로 못하면 앞장서서 질책할 것이고 잘하면 누구보다 먼저 박수쳐 줄 것이라고도 했다.
고양이는 강아지한테서 먹이를 뺏었어여.	고양이는 강아지한테서 먹이를 뺏었어요.
바쁠 것 같아여.	바쁠 것 같아요.
어제 제가 지갑을 경찰서에 갖다 주었어요.	어제 제가 주운 지갑을 경찰서에 갖다 주었어요.
그들에게 축구는 뗄레야 뗄 수 없는 생활의 습성이 되었고 어쩌다 비가 와서 못하는 날에는 모두들 아쉬워했다.	그들에게 축구는 뗄래야 뗄 수 없는 생활의 습성이 되였고 어찌다 비가 와서 못하는 날에는 모두들 아쉬워했다.
자주적인 역사 서술을 강조한 이익 선생의 정신을 그의 수제자인 안정복이 계승하여 동상강목을 저술하였다.	자주적인 역사서술을 강조한 이익 선생의 정신을 그의 수제자인 안정복이 계승하여 동사강목을 저술하였다.
깜빡하고 펜뚜껑을 닫지않았더니 잉크가 다 말라서 안나와요.	깜빡하고 펜 뚜껑을 닫지 않았더니 잉크가 다 말라서 안 나와요.
치마통이 너무 넓어서 요즘 유행에 뒤떨어진듯한 느낌이다. 살이 쪄서 그런지 치마통이 넓어 보이지가 않네.	치마통이 너무 넓어서 요즘 유행에 뒤떨어진 듯한 느낌이다. 살이 쪄서 그런지 치마통이 넓어 보이지가 않네.
북경에 갔을 때 날씨가 추워써요.	북경에 갔을 때 날씨가 추웠어요.
마이클씨는 누구하고 농구를해요.	마이클 씨는 누구하고 농구를 해요.
친구가 설거지하게 했써요.	친구가 설거지하게 했어요.
흐엉씨가 오는대로 회의를 시작할 것이다.	흐엉 씨가 오는 대로 회의를 시작할 것이다.
내 친구가 이사를 도와주러 우리집에 왔어여.	내 친구가 이사를 도와주러 우리 집에 왔어요.
요즘 살이 마니 쪄서 운동을 열씨미 해야겠어여.	요즘 살이 많이 쪄서 운동을 열심히 해야겠어요.
앤디씨는 수지씨와 사깁니다.	앤디 씨는 수지 씨와 사귑니다.
제가 하는데로 그대로 따라하세요.	제가 하는 대로 그대로 따라 하세요.
아무리 가까운 사이에도 최소한의 예의는 지켜야 합니다.	아무리 가까운 사이라도 최소한의 예의는 지켜야 한다.
민수가 노래하느라고 공부를 못했어여.	민수가 노래하느라고 공부를 못 했어요.
부모의 피를 이어받아다분한 음악가적 자질을 가진 아이는 장차 위대한 피아니스트가 될 것이다.	부모의 피를 이어받아 다분한 음악가적 자질을 가진 아이는 장차 위대한 피아니스트가 될 것이다.
아이들이 뛰어놀던 마을 뒷공터에 언제부턴가 혐상궂은 시멘트 건물들이 하나 둘 들어서기 시작했다.	아이들이 뛰어놀던 마을 뒷공터에 언제부턴가 험상궂은 시멘트 건물들이 하나둘 들어서기 시작했다.
지금시간에는 백화점에 사람이 많이잇겟어요.	지금 시간에는 백화점에 사람이 많이 있겠어요.
등푸른 생선은 아이들에게 좋은 생선이니 이런 생선으로는 고등어와 삼치가 있습니다.	등 푸른 생선은 아이들에게 좋은 생선이니 이런 생선으로는 고등어와 삼치가 있습니다.
여기는 왜 물이 이렇게 깊으니?	여기는 물이 왜 이렇게 깊으니?
충분한 사전검토 없이 나온 대선 공략을 당선과 더불어 즉각 기정사실화 해 버리는 것은 대통령 당선자로서 온당한 처신이 아니다.	충분한 사전 검토 없이 나온 대선 공약을 당선과 더불어 즉각 기정사실화해 버리는 것은 대통령 당선자로서 온당한 처신이 아니다.
보증인은 보증 사고가 실제로 발생하였는지의 여부에 관계없이 보증금을 지급하지 않으면 안된다.	보증인은 보증 사고가 실제로 발생하였는지의 여부에 관계없이 보증금을 지급하지 않으면 안 된다.
친구와 놀다보니 시간가는줄 몰랐어요.	친구와 놀다 보니 시간 가는 줄 몰랐어요.
과자가 생각보다 맛잇더라.	과자가 생각보다 맛있더라.
내 말좀 들어.	내 말 좀 들어.
유진씨가 자꾸 나에게 가방을 맞겨왔다.	유진 씨가 자꾸 나에게 가방을 맡겨 왔다.
앞에 가던 가던 차가 갑자기 급브레이크를 밟아서 사고가 날 뻔 했어요.	앞에 가던 차가 갑자기 급브레이크를 밟아서 사고가 날 뻔했어요.
유진이가 와야 도움도 안돼요.	유진이가 와야 도움도 안 돼요.
식당에 텔레비젼이 켜져 있어요.	식당에 텔레비전이 켜져 있어요.
저도 새처럼 날고 싶어여.	저도 새처럼 날고 싶어요.
텔레비전 출연후에 길을 걸었더니 사람들이 알아보드라고요.	텔레비전 출연 후에 길을 걸었더니 사람들이 알아보더라고요.
